metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1734895229,1.000000,,,,,,,,,,,,,,,,
vus_max,1734895229,120.000000,,,,,,,,,,,,,,,,
http_reqs,1734895230,1.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_duration,1734895230,1269.429900,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_blocked,1734895230,233.588800,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_connecting,1734895230,56.045600,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_tls_handshaking,1734895230,124.657600,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_sending,1734895230,1.552800,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_waiting,1734895230,55.774900,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_receiving,1734895230,1212.102200,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_failed,1734895230,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
vus,1734895230,2.000000,,,,,,,,,,,,,,,,
vus_max,1734895230,120.000000,,,,,,,,,,,,,,,,
data_sent,1734895231,1809.000000,,,,,,,,,default,,,,,,,
data_received,1734895231,354945.000000,,,,,,,,,default,,,,,,,
iteration_duration,1734895231,2503.082800,,,,,,,,,default,,,,,,,
iterations,1734895231,1.000000,,,,,,,,,default,,,,,,,
vus,1734895231,3.000000,,,,,,,,,,,,,,,,
vus_max,1734895231,120.000000,,,,,,,,,,,,,,,,
http_reqs,1734895231,1.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_duration,1734895231,1656.295300,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_blocked,1734895231,506.777700,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_connecting,1734895231,175.694900,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_tls_handshaking,1734895231,330.591000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_sending,1734895231,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_waiting,1734895231,56.507300,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_receiving,1734895231,1599.788000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_failed,1734895231,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
vus,1734895232,4.000000,,,,,,,,,,,,,,,,
vus_max,1734895232,120.000000,,,,,,,,,,,,,,,,
data_sent,1734895232,1905.000000,,,,,,,,,default,,,,,,,
data_received,1734895232,354945.000000,,,,,,,,,default,,,,,,,
iteration_duration,1734895232,3164.531000,,,,,,,,,default,,,,,,,
iterations,1734895232,1.000000,,,,,,,,,default,,,,,,,
vus,1734895233,5.000000,,,,,,,,,,,,,,,,
vus_max,1734895233,120.000000,,,,,,,,,,,,,,,,
vus,1734895234,6.000000,,,,,,,,,,,,,,,,
vus_max,1734895234,120.000000,,,,,,,,,,,,,,,,
vus,1734895235,7.000000,,,,,,,,,,,,,,,,
vus_max,1734895235,120.000000,,,,,,,,,,,,,,,,
vus,1734895236,8.000000,,,,,,,,,,,,,,,,
vus_max,1734895236,120.000000,,,,,,,,,,,,,,,,
vus,1734895237,9.000000,,,,,,,,,,,,,,,,
vus_max,1734895237,120.000000,,,,,,,,,,,,,,,,
vus,1734895238,10.000000,,,,,,,,,,,,,,,,
vus_max,1734895238,120.000000,,,,,,,,,,,,,,,,
vus,1734895239,11.000000,,,,,,,,,,,,,,,,
vus_max,1734895239,120.000000,,,,,,,,,,,,,,,,
http_reqs,1734895239,1.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_duration,1734895239,8473.868600,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_blocked,1734895239,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_connecting,1734895239,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_tls_handshaking,1734895239,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_sending,1734895239,0.622900,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_waiting,1734895239,169.951800,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_receiving,1734895239,8303.293900,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
http_req_failed,1734895239,0.000000,,,,true,,GET,https://www.w3schools.com/js/js_functions.asp,HTTP/2.0,default,,200,,tls1.3,https://www.w3schools.com/js/js_functions.asp,,
vus,1734895240,12.000000,,,,,,,,,,,,,,,,
vus_max,1734895240,120.000000,,,,,,,,,,,,,,,,
data_sent,1734895240,1069.000000,,,,,,,,,default,,,,,,,
